역명,일자, 이용인원 , 승차인원 , 하차인원 
검단오류(검단산업단지),2023-09-19,6034,2966,3068
왕길,2023-09-19,5387,2698,2689
검단사거리,2023-09-19,16678,8770,7908
마전,2023-09-19,8907,4358,4549
완정,2023-09-19,15694,8118,7576
독정,2023-09-19,9634,4768,4866
검암,2023-09-19,7597,4099,3498
검바위,2023-09-19,7564,3663,3901
아시아드경기장(공촌사거리),2023-09-19,9837,5219,4618
서구청,2023-09-19,17272,8538,8734
가정(루원시티),2023-09-19,23866,12318,11548
가정중앙시장,2023-09-19,12757,6133,6624
석남(거북시장),2023-09-19,6536,3147,3389
서부여성회관,2023-09-19,8158,4190,3968
인천가좌,2023-09-19,8803,4447,4356
가재울,2023-09-19,8200,4199,4001
주안국가산단,2023-09-19,5878,2856,3022
주안,2023-09-19,16561,7143,9418
시민공원(문화창작지대),2023-09-19,20001,10299,9702
석바위시장,2023-09-19,9069,4380,4689
인천시청,2023-09-19,6730,3226,3504
석천사거리,2023-09-19,9742,5116,4626
모래내시장,2023-09-19,16147,7821,8326
만수,2023-09-19,10326,5358,4968
남동구청,2023-09-19,9496,4934,4562
인천대공원,2023-09-19,5805,2954,2851
운연(서창),2023-09-19,2709,1475,1234
검단오류(검단산업단지),2023-09-20,5751,2823,2928
왕길,2023-09-20,5211,2593,2618
검단사거리,2023-09-20,16070,8453,7617
마전,2023-09-20,8795,4313,4482
완정,2023-09-20,15395,8012,7383
독정,2023-09-20,8759,4382,4377
검암,2023-09-20,7182,3871,3311
검바위,2023-09-20,7289,3553,3736
아시아드경기장(공촌사거리),2023-09-20,9410,5022,4388
서구청,2023-09-20,16579,8219,8360
가정(루원시티),2023-09-20,23247,11899,11348
가정중앙시장,2023-09-20,11663,5663,6000
석남(거북시장),2023-09-20,6089,2933,3156
서부여성회관,2023-09-20,7819,3954,3865
인천가좌,2023-09-20,8399,4249,4150
가재울,2023-09-20,7724,3887,3837
주안국가산단,2023-09-20,5857,2896,2961
주안,2023-09-20,15429,6575,8854
시민공원(문화창작지대),2023-09-20,19130,9811,9319
석바위시장,2023-09-20,8479,4082,4397
인천시청,2023-09-20,6479,3143,3336
석천사거리,2023-09-20,9297,4789,4508
모래내시장,2023-09-20,14151,6862,7289
만수,2023-09-20,9753,5002,4751
남동구청,2023-09-20,9039,4730,4309
인천대공원,2023-09-20,3222,1638,1584
운연(서창),2023-09-20,2330,1245,1085
검단오류(검단산업단지),2023-09-21,6042,2970,3072
왕길,2023-09-21,5574,2795,2779
검단사거리,2023-09-21,17249,9021,8228
마전,2023-09-21,9182,4480,4702
완정,2023-09-21,16303,8447,7856
독정,2023-09-21,9676,4879,4797
검암,2023-09-21,7678,4198,3480
검바위,2023-09-21,7684,3676,4008
아시아드경기장(공촌사거리),2023-09-21,9870,5253,4617
서구청,2023-09-21,17851,8811,9040
가정(루원시티),2023-09-21,24333,12423,11910
가정중앙시장,2023-09-21,13242,6409,6833
석남(거북시장),2023-09-21,6596,3186,3410
서부여성회관,2023-09-21,8671,4427,4244
인천가좌,2023-09-21,8969,4585,4384
가재울,2023-09-21,8362,4265,4097
주안국가산단,2023-09-21,5936,2873,3063
주안,2023-09-21,17013,7319,9694
시민공원(문화창작지대),2023-09-21,20056,10360,9696
석바위시장,2023-09-21,9043,4327,4716
인천시청,2023-09-21,7079,3394,3685
석천사거리,2023-09-21,9733,5102,4631
모래내시장,2023-09-21,16823,8241,8582
만수,2023-09-21,10494,5376,5118
남동구청,2023-09-21,9921,5166,4755
인천대공원,2023-09-21,5982,3055,2927
운연(서창),2023-09-21,3007,1603,1404
검단오류(검단산업단지),2023-09-22,5946,2891,3055
왕길,2023-09-22,5642,2824,2818
검단사거리,2023-09-22,18326,9663,8663
마전,2023-09-22,9446,4623,4823
완정,2023-09-22,16669,8667,8002
독정,2023-09-22,9895,5067,4828
검암,2023-09-22,8118,4366,3752
검바위,2023-09-22,7646,3673,3973
아시아드경기장(공촌사거리),2023-09-22,10102,5402,4700
서구청,2023-09-22,18395,9064,9331
가정(루원시티),2023-09-22,25295,13017,12278
가정중앙시장,2023-09-22,13641,6615,7026
석남(거북시장),2023-09-22,6777,3232,3545
서부여성회관,2023-09-22,9126,4645,4481
인천가좌,2023-09-22,8844,4458,4386
가재울,2023-09-22,8460,4330,4130
주안국가산단,2023-09-22,5821,2830,2991
주안,2023-09-22,17493,7442,10051
시민공원(문화창작지대),2023-09-22,20196,10383,9813
석바위시장,2023-09-22,9434,4561,4873
인천시청,2023-09-22,7259,3452,3807
석천사거리,2023-09-22,9899,5207,4692
모래내시장,2023-09-22,17646,8566,9080
만수,2023-09-22,10975,5704,5271
남동구청,2023-09-22,10158,5289,4869
인천대공원,2023-09-22,5948,3043,2905
운연(서창),2023-09-22,2806,1508,1298
검단오류(검단산업단지),2023-09-23,2448,1295,1153
왕길,2023-09-23,3324,1702,1622
검단사거리,2023-09-23,13725,7054,6671
마전,2023-09-23,6133,3057,3076
완정,2023-09-23,11197,5888,5309
독정,2023-09-23,6636,3308,3328
검암,2023-09-23,6091,3218,2873
검바위,2023-09-23,4512,2199,2313
아시아드경기장(공촌사거리),2023-09-23,7196,3688,3508
서구청,2023-09-23,11463,5827,5636
가정(루원시티),2023-09-23,15518,8006,7512
가정중앙시장,2023-09-23,10901,5353,5548
석남(거북시장),2023-09-23,4925,2337,2588
서부여성회관,2023-09-23,6578,3363,3215
인천가좌,2023-09-23,5188,2642,2546
가재울,2023-09-23,4796,2432,2364
주안국가산단,2023-09-23,1858,877,981
주안,2023-09-23,13519,5485,8034
시민공원(문화창작지대),2023-09-23,14094,7246,6848
석바위시장,2023-09-23,6497,3145,3352
인천시청,2023-09-23,5000,2313,2687
석천사거리,2023-09-23,6724,3560,3164
모래내시장,2023-09-23,14353,6951,7402
만수,2023-09-23,7881,4112,3769
남동구청,2023-09-23,6089,3239,2850
인천대공원,2023-09-23,7133,3612,3521
운연(서창),2023-09-23,1797,957,840
검단오류(검단산업단지),2023-09-24,1531,729,802
왕길,2023-09-24,2164,1131,1033
검단사거리,2023-09-24,10318,5131,5187
마전,2023-09-24,4375,2144,2231
완정,2023-09-24,7275,3730,3545
독정,2023-09-24,4230,2136,2094
검암,2023-09-24,4272,2236,2036
검바위,2023-09-24,3013,1438,1575
아시아드경기장(공촌사거리),2023-09-24,5349,2799,2550
서구청,2023-09-24,7913,4007,3906
가정(루원시티),2023-09-24,10708,5454,5254
가정중앙시장,2023-09-24,8264,4090,4174
석남(거북시장),2023-09-24,3425,1619,1806
서부여성회관,2023-09-24,5081,2607,2474
인천가좌,2023-09-24,3404,1705,1699
가재울,2023-09-24,3489,1748,1741
주안국가산단,2023-09-24,815,399,416
주안,2023-09-24,9964,4118,5846
시민공원(문화창작지대),2023-09-24,10628,5457,5171
석바위시장,2023-09-24,5135,2504,2631
인천시청,2023-09-24,3725,1759,1966
석천사거리,2023-09-24,4827,2540,2287
모래내시장,2023-09-24,11015,5372,5643
만수,2023-09-24,6313,3213,3100
남동구청,2023-09-24,4482,2328,2154
인천대공원,2023-09-24,7344,3638,3706
운연(서창),2023-09-24,1500,802,698
검단오류(검단산업단지),2023-09-25,5791,2793,2998
왕길,2023-09-25,5538,2816,2722
검단사거리,2023-09-25,17143,9039,8104
마전,2023-09-25,8995,4380,4615
완정,2023-09-25,16191,8417,7774
독정,2023-09-25,9771,4839,4932
검암,2023-09-25,7580,4154,3426
검바위,2023-09-25,7531,3647,3884
아시아드경기장(공촌사거리),2023-09-25,9781,5211,4570
서구청,2023-09-25,17909,8937,8972
가정(루원시티),2023-09-25,23841,12375,11466
가정중앙시장,2023-09-25,13579,6621,6958
석남(거북시장),2023-09-25,6478,3123,3355
서부여성회관,2023-09-25,8067,4177,3890
인천가좌,2023-09-25,8569,4312,4257
가재울,2023-09-25,8138,4134,4004
주안국가산단,2023-09-25,5830,2881,2949
주안,2023-09-25,16382,7118,9264
시민공원(문화창작지대),2023-09-25,19774,10098,9676
석바위시장,2023-09-25,9429,4521,4908
인천시청,2023-09-25,6677,3183,3494
석천사거리,2023-09-25,9789,5071,4718
모래내시장,2023-09-25,17344,8443,8901
만수,2023-09-25,10349,5408,4941
남동구청,2023-09-25,9707,5093,4614
인천대공원,2023-09-25,4963,2526,2437
운연(서창),2023-09-25,2626,1391,1235
검단오류(검단산업단지),2023-09-26,5609,2743,2866
왕길,2023-09-26,5219,2617,2602
검단사거리,2023-09-26,16302,8525,7777
마전,2023-09-26,8874,4292,4582
완정,2023-09-26,15282,7936,7346
독정,2023-09-26,9113,4594,4519
검암,2023-09-26,7349,3925,3424
검바위,2023-09-26,7420,3591,3829
아시아드경기장(공촌사거리),2023-09-26,9387,4992,4395
서구청,2023-09-26,16739,8276,8463
가정(루원시티),2023-09-26,23156,11898,11258
가정중앙시장,2023-09-26,12828,6200,6628
석남(거북시장),2023-09-26,6066,2932,3134
서부여성회관,2023-09-26,7804,3994,3810
인천가좌,2023-09-26,8387,4222,4165
가재울,2023-09-26,7908,3942,3966
주안국가산단,2023-09-26,5825,2805,3020
주안,2023-09-26,15807,6824,8983
시민공원(문화창작지대),2023-09-26,18982,9732,9250
석바위시장,2023-09-26,8800,4263,4537
인천시청,2023-09-26,6644,3212,3432
석천사거리,2023-09-26,9344,4849,4495
모래내시장,2023-09-26,15419,7502,7917
만수,2023-09-26,9560,5000,4560
남동구청,2023-09-26,8975,4719,4256
인천대공원,2023-09-26,3125,1581,1544
운연(서창),2023-09-26,2320,1260,1060
검단오류(검단산업단지),2023-09-27,5293,2602,2691
왕길,2023-09-27,5184,2562,2622
검단사거리,2023-09-27,17812,9251,8561
마전,2023-09-27,8860,4307,4553
완정,2023-09-27,15834,8247,7587
독정,2023-09-27,9834,4954,4880
검암,2023-09-27,7416,4092,3324
검바위,2023-09-27,7620,3721,3899
아시아드경기장(공촌사거리),2023-09-27,9648,5164,4484
서구청,2023-09-27,17390,8574,8816
가정(루원시티),2023-09-27,23489,12058,11431
가정중앙시장,2023-09-27,15145,7284,7861
석남(거북시장),2023-09-27,6471,3097,3374
서부여성회관,2023-09-27,8461,4344,4117
인천가좌,2023-09-27,8444,4259,4185
가재울,2023-09-27,8054,4110,3944
주안국가산단,2023-09-27,5633,2725,2908
주안,2023-09-27,16795,7148,9647
시민공원(문화창작지대),2023-09-27,19775,10193,9582
석바위시장,2023-09-27,9124,4400,4724
인천시청,2023-09-27,6811,3242,3569
석천사거리,2023-09-27,9726,5033,4693
모래내시장,2023-09-27,18151,8694,9457
만수,2023-09-27,10360,5452,4908
남동구청,2023-09-27,9390,4939,4451
인천대공원,2023-09-27,4500,2275,2225
운연(서창),2023-09-27,2541,1382,1159
검단오류(검단산업단지),2023-09-28,1682,948,734
왕길,2023-09-28,1725,864,861
검단사거리,2023-09-28,9843,5069,4774
마전,2023-09-28,3748,1812,1936
완정,2023-09-28,6072,3175,2897
독정,2023-09-28,4484,2263,2221
검암,2023-09-28,3473,1828,1645
검바위,2023-09-28,2725,1351,1374
아시아드경기장(공촌사거리),2023-09-28,4552,2492,2060
서구청,2023-09-28,7025,3481,3544
가정(루원시티),2023-09-28,8322,4336,3986
가정중앙시장,2023-09-28,9446,4577,4869
석남(거북시장),2023-09-28,3021,1451,1570
서부여성회관,2023-09-28,4650,2400,2250
인천가좌,2023-09-28,3054,1527,1527
가재울,2023-09-28,2564,1298,1266
주안국가산단,2023-09-28,648,347,301
주안,2023-09-28,8681,3702,4979
시민공원(문화창작지대),2023-09-28,7792,3998,3794
석바위시장,2023-09-28,4171,1978,2193
인천시청,2023-09-28,2898,1373,1525
석천사거리,2023-09-28,3701,1911,1790
모래내시장,2023-09-28,11175,5376,5799
만수,2023-09-28,5132,2664,2468
남동구청,2023-09-28,3751,1942,1809
인천대공원,2023-09-28,4480,2216,2264
운연(서창),2023-09-28,1127,603,524
검단오류(검단산업단지),2023-09-29,1674,1008,666
왕길,2023-09-29,1220,636,584
검단사거리,2023-09-29,8504,4368,4136
마전,2023-09-29,2863,1407,1456
완정,2023-09-29,4653,2422,2231
독정,2023-09-29,3468,1765,1703
검암,2023-09-29,2865,1571,1294
검바위,2023-09-29,2116,1091,1025
아시아드경기장(공촌사거리),2023-09-29,3643,1957,1686
서구청,2023-09-29,5239,2614,2625
가정(루원시티),2023-09-29,6481,3386,3095
가정중앙시장,2023-09-29,5208,2570,2638
석남(거북시장),2023-09-29,2633,1245,1388
서부여성회관,2023-09-29,4128,2084,2044
인천가좌,2023-09-29,2812,1418,1394
가재울,2023-09-29,2329,1183,1146
주안국가산단,2023-09-29,379,193,186
주안,2023-09-29,8128,3298,4830
시민공원(문화창작지대),2023-09-29,6473,3316,3157
석바위시장,2023-09-29,2663,1323,1340
인천시청,2023-09-29,2128,931,1197
석천사거리,2023-09-29,3013,1565,1448
모래내시장,2023-09-29,5943,2894,3049
만수,2023-09-29,4301,2232,2069
남동구청,2023-09-29,2897,1481,1416
인천대공원,2023-09-29,5036,2564,2472
운연(서창),2023-09-29,1027,536,491
검단오류(검단산업단지),2023-09-30,1498,773,725
왕길,2023-09-30,1674,866,808
검단사거리,2023-09-30,9451,4667,4784
마전,2023-09-30,3436,1701,1735
완정,2023-09-30,5981,3076,2905
독정,2023-09-30,3798,1912,1886
검암,2023-09-30,3522,1948,1574
검바위,2023-09-30,2363,1165,1198
아시아드경기장(공촌사거리),2023-09-30,3956,2137,1819
서구청,2023-09-30,6448,3113,3335
가정(루원시티),2023-09-30,8289,4263,4026
가정중앙시장,2023-09-30,5823,2943,2880
석남(거북시장),2023-09-30,2989,1418,1571
서부여성회관,2023-09-30,4436,2252,2184
인천가좌,2023-09-30,2896,1517,1379
가재울,2023-09-30,2638,1346,1292
주안국가산단,2023-09-30,445,209,236
주안,2023-09-30,8552,3402,5150
시민공원(문화창작지대),2023-09-30,7681,4000,3681
석바위시장,2023-09-30,3142,1608,1534
인천시청,2023-09-30,2614,1240,1374
석천사거리,2023-09-30,3729,1986,1743
모래내시장,2023-09-30,7101,3487,3614
만수,2023-09-30,4799,2518,2281
남동구청,2023-09-30,3304,1721,1583
인천대공원,2023-09-30,5385,2682,2703
운연(서창),2023-09-30,1149,611,538
검단오류(검단산업단지),2023-10-01,1699,854,845
왕길,2023-10-01,2068,1077,991
검단사거리,2023-10-01,10575,5333,5242
마전,2023-10-01,4156,2116,2040
완정,2023-10-01,7287,3677,3610
독정,2023-10-01,4462,2217,2245
검암,2023-10-01,4350,2326,2024
검바위,2023-10-01,2904,1412,1492
아시아드경기장(공촌사거리),2023-10-01,4582,2475,2107
서구청,2023-10-01,7316,3604,3712
가정(루원시티),2023-10-01,10206,5244,4962
가정중앙시장,2023-10-01,6953,3425,3528
석남(거북시장),2023-10-01,3544,1695,1849
서부여성회관,2023-10-01,5155,2660,2495
인천가좌,2023-10-01,3406,1751,1655
가재울,2023-10-01,3420,1709,1711
주안국가산단,2023-10-01,566,288,278
주안,2023-10-01,9816,4032,5784
시민공원(문화창작지대),2023-10-01,10241,5156,5085
석바위시장,2023-10-01,4335,2103,2232
인천시청,2023-10-01,3333,1553,1780
석천사거리,2023-10-01,4634,2523,2111
모래내시장,2023-10-01,9747,4805,4942
만수,2023-10-01,5984,3041,2943
남동구청,2023-10-01,4133,2137,1996
인천대공원,2023-10-01,9512,4744,4768
운연(서창),2023-10-01,1506,792,714
검단오류(검단산업단지),2023-10-02,1768,872,896
왕길,2023-10-02,2410,1241,1169
검단사거리,2023-10-02,11873,5984,5889
마전,2023-10-02,4586,2286,2300
완정,2023-10-02,8672,4452,4220
독정,2023-10-02,5176,2589,2587
검암,2023-10-02,5075,2768,2307
검바위,2023-10-02,3193,1506,1687
아시아드경기장(공촌사거리),2023-10-02,5248,2823,2425
서구청,2023-10-02,9178,4599,4579
가정(루원시티),2023-10-02,11674,5977,5697
가정중앙시장,2023-10-02,8462,4197,4265
석남(거북시장),2023-10-02,4004,1875,2129
서부여성회관,2023-10-02,5160,2660,2500
인천가좌,2023-10-02,4416,2272,2144
가재울,2023-10-02,3871,1944,1927
주안국가산단,2023-10-02,1022,477,545
주안,2023-10-02,10687,4400,6287
시민공원(문화창작지대),2023-10-02,11915,6154,5761
석바위시장,2023-10-02,5214,2541,2673
인천시청,2023-10-02,3776,1771,2005
석천사거리,2023-10-02,5438,2911,2527
모래내시장,2023-10-02,11466,5671,5795
만수,2023-10-02,6742,3541,3201
남동구청,2023-10-02,4926,2551,2375
인천대공원,2023-10-02,9801,4864,4937
운연(서창),2023-10-02,1646,849,797
검단오류(검단산업단지),2023-10-03,1610,763,847
왕길,2023-10-03,2304,1173,1131
검단사거리,2023-10-03,9959,5030,4929
마전,2023-10-03,4207,2111,2096
완정,2023-10-03,7649,3895,3754
독정,2023-10-03,4595,2322,2273
검암,2023-10-03,4698,2468,2230
검바위,2023-10-03,2944,1403,1541
아시아드경기장(공촌사거리),2023-10-03,5001,2716,2285
서구청,2023-10-03,7982,3963,4019
가정(루원시티),2023-10-03,10506,5398,5108
가정중앙시장,2023-10-03,7546,3718,3828
석남(거북시장),2023-10-03,3670,1712,1958
서부여성회관,2023-10-03,4615,2372,2243
인천가좌,2023-10-03,3479,1744,1735
가재울,2023-10-03,3679,1895,1784
주안국가산단,2023-10-03,1140,537,603
주안,2023-10-03,9821,4140,5681
시민공원(문화창작지대),2023-10-03,10087,5179,4908
석바위시장,2023-10-03,4732,2326,2406
인천시청,2023-10-03,3428,1623,1805
석천사거리,2023-10-03,4910,2628,2282
모래내시장,2023-10-03,10730,5234,5496
만수,2023-10-03,6018,3095,2923
남동구청,2023-10-03,4644,2460,2184
인천대공원,2023-10-03,9524,4724,4800
운연(서창),2023-10-03,1481,773,708
검단오류(검단산업단지),2023-10-04,5788,2872,2916
왕길,2023-10-04,5347,2687,2660
검단사거리,2023-10-04,16684,8756,7928
마전,2023-10-04,8954,4374,4580
완정,2023-10-04,15920,8221,7699
독정,2023-10-04,9358,4734,4624
검암,2023-10-04,7748,4258,3490
검바위,2023-10-04,7382,3563,3819
아시아드경기장(공촌사거리),2023-10-04,9483,4979,4504
서구청,2023-10-04,16878,8379,8499
가정(루원시티),2023-10-04,23431,12009,11422
가정중앙시장,2023-10-04,12265,5977,6288
석남(거북시장),2023-10-04,6496,3142,3354
서부여성회관,2023-10-04,8114,4170,3944
인천가좌,2023-10-04,8584,4353,4231
가재울,2023-10-04,8235,4188,4047
주안국가산단,2023-10-04,5772,2830,2942
주안,2023-10-04,16107,6992,9115
시민공원(문화창작지대),2023-10-04,19889,10154,9735
석바위시장,2023-10-04,9098,4353,4745
인천시청,2023-10-04,6856,3299,3557
석천사거리,2023-10-04,9533,4939,4594
모래내시장,2023-10-04,15653,7589,8064
만수,2023-10-04,10305,5319,4986
남동구청,2023-10-04,9310,4840,4470
인천대공원,2023-10-04,5519,2797,2722
운연(서창),2023-10-04,2534,1340,1194
검단오류(검단산업단지),2023-10-05,5828,2871,2957
왕길,2023-10-05,5433,2742,2691
검단사거리,2023-10-05,16826,8792,8034
마전,2023-10-05,9085,4411,4674
완정,2023-10-05,16069,8298,7771
독정,2023-10-05,9409,4737,4672
검암,2023-10-05,8450,4642,3808
검바위,2023-10-05,7588,3658,3930
아시아드경기장(공촌사거리),2023-10-05,9815,5151,4664
서구청,2023-10-05,17423,8671,8752
가정(루원시티),2023-10-05,24298,12359,11939
가정중앙시장,2023-10-05,12754,6190,6564
석남(거북시장),2023-10-05,6357,3068,3289
서부여성회관,2023-10-05,8354,4269,4085
인천가좌,2023-10-05,8741,4444,4297
가재울,2023-10-05,8288,4254,4034
주안국가산단,2023-10-05,5842,2872,2970
주안,2023-10-05,16612,7139,9473
시민공원(문화창작지대),2023-10-05,19959,10207,9752
석바위시장,2023-10-05,9050,4381,4669
인천시청,2023-10-05,6968,3339,3629
석천사거리,2023-10-05,9750,5045,4705
모래내시장,2023-10-05,16174,7862,8312
만수,2023-10-05,10359,5374,4985
남동구청,2023-10-05,9675,5048,4627
인천대공원,2023-10-05,6013,3077,2936
운연(서창),2023-10-05,2697,1457,1240
검단오류(검단산업단지),2023-10-06,5876,2898,2978
왕길,2023-10-06,5436,2751,2685
검단사거리,2023-10-06,18220,9545,8675
마전,2023-10-06,9061,4482,4579
완정,2023-10-06,16463,8515,7948
독정,2023-10-06,9477,4784,4693
검암,2023-10-06,8579,4731,3848
검바위,2023-10-06,7560,3661,3899
아시아드경기장(공촌사거리),2023-10-06,9680,5163,4517
서구청,2023-10-06,18507,9114,9393
가정(루원시티),2023-10-06,24993,12792,12201
가정중앙시장,2023-10-06,13311,6522,6789
석남(거북시장),2023-10-06,6595,3141,3454
서부여성회관,2023-10-06,8870,4499,4371
인천가좌,2023-10-06,8912,4526,4386
가재울,2023-10-06,8616,4430,4186
주안국가산단,2023-10-06,5938,2907,3031
주안,2023-10-06,17186,7331,9855
시민공원(문화창작지대),2023-10-06,20314,10406,9908
석바위시장,2023-10-06,9255,4497,4758
인천시청,2023-10-06,7285,3472,3813
석천사거리,2023-10-06,9873,5154,4719
모래내시장,2023-10-06,17113,8339,8774
만수,2023-10-06,10902,5620,5282
남동구청,2023-10-06,9793,5191,4602
인천대공원,2023-10-06,6744,3409,3335
운연(서창),2023-10-06,2757,1475,1282
검단오류(검단산업단지),2023-10-07,2413,1280,1133
왕길,2023-10-07,3250,1670,1580
검단사거리,2023-10-07,13979,7222,6757
마전,2023-10-07,5903,2936,2967
완정,2023-10-07,10548,5508,5040
독정,2023-10-07,6194,3120,3074
검암,2023-10-07,6062,3201,2861
검바위,2023-10-07,3980,1994,1986
아시아드경기장(공촌사거리),2023-10-07,7138,3654,3484
서구청,2023-10-07,11153,5639,5514
가정(루원시티),2023-10-07,15199,7894,7305
가정중앙시장,2023-10-07,10113,5023,5090
석남(거북시장),2023-10-07,4947,2375,2572
서부여성회관,2023-10-07,6364,3277,3087
인천가좌,2023-10-07,5225,2671,2554
가재울,2023-10-07,4726,2412,2314
주안국가산단,2023-10-07,1675,820,855
주안,2023-10-07,13610,5584,8026
시민공원(문화창작지대),2023-10-07,14140,7246,6894
석바위시장,2023-10-07,6475,3154,3321
인천시청,2023-10-07,4856,2295,2561
석천사거리,2023-10-07,6335,3328,3007
모래내시장,2023-10-07,13810,6768,7042
만수,2023-10-07,7803,4090,3713
남동구청,2023-10-07,5866,3096,2770
인천대공원,2023-10-07,8016,3988,4028
운연(서창),2023-10-07,1782,953,829
검단오류(검단산업단지),2023-10-08,1519,780,739
왕길,2023-10-08,2152,1118,1034
검단사거리,2023-10-08,10183,5077,5106
마전,2023-10-08,4182,2017,2165
완정,2023-10-08,7685,3988,3697
독정,2023-10-08,4239,2142,2097
검암,2023-10-08,4477,2293,2184
검바위,2023-10-08,3071,1499,1572
아시아드경기장(공촌사거리),2023-10-08,5303,2747,2556
서구청,2023-10-08,8558,4234,4324
가정(루원시티),2023-10-08,10882,5493,5389
가정중앙시장,2023-10-08,7688,3825,3863
석남(거북시장),2023-10-08,3484,1687,1797
서부여성회관,2023-10-08,5213,2717,2496
인천가좌,2023-10-08,3564,1784,1780
가재울,2023-10-08,3580,1859,1721
주안국가산단,2023-10-08,736,377,359
주안,2023-10-08,10619,4342,6277
시민공원(문화창작지대),2023-10-08,10853,5544,5309
석바위시장,2023-10-08,5149,2573,2576
인천시청,2023-10-08,3762,1769,1993
석천사거리,2023-10-08,4887,2574,2313
모래내시장,2023-10-08,10546,5190,5356
만수,2023-10-08,6275,3236,3039
남동구청,2023-10-08,4641,2441,2200
인천대공원,2023-10-08,7580,3742,3838
운연(서창),2023-10-08,1447,765,682
검단오류(검단산업단지),2023-10-09,1868,889,979
왕길,2023-10-09,2366,1239,1127
검단사거리,2023-10-09,10189,5135,5054
마전,2023-10-09,4220,2046,2174
완정,2023-10-09,7726,3962,3764
독정,2023-10-09,4839,2427,2412
검암,2023-10-09,4650,2426,2224
검바위,2023-10-09,3086,1464,1622
아시아드경기장(공촌사거리),2023-10-09,5046,2677,2369
서구청,2023-10-09,8889,4478,4411
가정(루원시티),2023-10-09,10866,5547,5319
가정중앙시장,2023-10-09,8248,4039,4209
석남(거북시장),2023-10-09,3812,1828,1984
서부여성회관,2023-10-09,4712,2410,2302
인천가좌,2023-10-09,3734,1869,1865
가재울,2023-10-09,3901,1970,1931
주안국가산단,2023-10-09,1355,630,725
주안,2023-10-09,10097,4175,5922
시민공원(문화창작지대),2023-10-09,10752,5556,5196
석바위시장,2023-10-09,5193,2559,2634
인천시청,2023-10-09,3615,1714,1901
석천사거리,2023-10-09,4903,2569,2334
모래내시장,2023-10-09,11387,5512,5875
만수,2023-10-09,6129,3204,2925
남동구청,2023-10-09,4734,2463,2271
인천대공원,2023-10-09,8565,4259,4306
운연(서창),2023-10-09,1546,815,731
검단오류(검단산업단지),2023-10-10,5970,2941,3029
왕길,2023-10-10,5462,2747,2715
검단사거리,2023-10-10,17616,9284,8332
마전,2023-10-10,9175,4449,4726
완정,2023-10-10,16455,8576,7879
독정,2023-10-10,9825,4904,4921
검암,2023-10-10,8594,4706,3888
검바위,2023-10-10,7621,3634,3987
아시아드경기장(공촌사거리),2023-10-10,9708,5149,4559
서구청,2023-10-10,18133,9044,9089
가정(루원시티),2023-10-10,24693,12644,12049
가정중앙시장,2023-10-10,12784,6219,6565
석남(거북시장),2023-10-10,6330,3077,3253
서부여성회관,2023-10-10,8528,4373,4155
인천가좌,2023-10-10,8807,4445,4362
가재울,2023-10-10,8503,4284,4219
주안국가산단,2023-10-10,5900,2883,3017
주안,2023-10-10,16810,7197,9613
시민공원(문화창작지대),2023-10-10,20333,10427,9906
석바위시장,2023-10-10,9253,4523,4730
인천시청,2023-10-10,7092,3389,3703
석천사거리,2023-10-10,9922,5109,4813
모래내시장,2023-10-10,16551,8021,8530
만수,2023-10-10,10477,5455,5022
남동구청,2023-10-10,10280,5331,4949
인천대공원,2023-10-10,6308,3185,3123
운연(서창),2023-10-10,2661,1406,1255
검단오류(검단산업단지),2023-10-11,6162,3054,3108
왕길,2023-10-11,5625,2819,2806
